Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#GCPPUCGQ,YouWithTheFace,2,3,100,2,99,5,199
#G08JGJPL,Jimbob,6,2,97,0,0,2,97
#QYGQ090PR,Murk Fest,3,3,100,0,0,3,100
#2982YPYV,~ iPlayLOL ~,1,3,100,3,100,6,200
#82YC2CJ0U,Hikaru,4,1,88,1,83,2,171
#L0LJCYUL9,camobamo,14,2,90,0,38,2,128
#QGLPVRGU2,StruggleHuggle,10,3,100,3,100,6,200
#L8GR8VUY,irina,7,3,100,3,100,6,200
#8PRP9L28Q,Eknight_Br,8,3,100,2,72,5,172
#22YYGV0Y,Bob the builder,5,0,0,0,0,0,0
#22RC8RJV,PhoKing,13,1,53,3,100,4,153
#QJPV0YP9U,gabe,12,1,60,0,39,1,99
#YVGR8RVLL,( ͡° ͜ʖ ͡°),15,1,68,0,28,1,96
#YJPQQJ80L,reachel___,9,3,100,3,100,6,200
#LUCUVV9CC,7AFEZ,11,0,0,0,0,0,0
