Tag,Name,Map Position,Total War Participated,Attacks Made,Total Stars,Total Destruction,Average Stars,Average Destruction
#80P8UPUG,thekojiman,1,7,6,16,593,2.6666666666666665,98.83333333333333
#9URGG2CY,Joe Kelly,20,7,7,14,551,2.0,78.71428571428571
#V8G8P2PU,jolene wood,14,7,5,11,408,2.2,81.6
#URUYJ9GV,andrei,10,7,0,0,0,0,0
#QYP9R9G29,CãTë,28,7,0,0,0,0,0
#2982YPYV,~ iPlayLOL ~,8,7,7,16,602,2.2857142857142856,86.0
#8CYCYPGLG,ダスデ,3,7,7,21,700,3.0,100.0
#28CPYJ902,AKgamer243,26,7,7,16,593,2.2857142857142856,84.71428571428571
#8JVVLYQ2U,DawsoD,4,7,7,18,640,2.5714285714285716,91.42857142857143
#QGG0JG0UG,aca,16,7,5,8,362,1.6,72.4
#QGLPVRGU2,StruggleHuggle,23,7,7,18,634,2.5714285714285716,90.57142857142857
#Q8QUU888P,King Harlon,9,7,5,12,482,2.4,96.4
#QGPPRYVRY,zekinha,27,7,2,4,167,2.0,83.5
#L8GR8VUY,irina,19,7,7,18,642,2.5714285714285716,91.71428571428571
#990CCQVLP,Thompson,29,7,1,3,100,3.0,100.0
#PQVPQCRU8,Clan Distroyer,12,7,2,3,163,1.5,81.5
#8PRP9L28Q,Eknight_Br,17,7,2,4,105,2.0,52.5
#QYP0Y909R,Denmark,5,7,5,13,474,2.6,94.8
#2QYGQ9CQL,Uncle Grandpa,21,7,5,10,382,2.0,76.4
#LCYJUC00Y,poes,7,7,0,0,0,0,0
#UQURYCLL,Kadafi,6,7,6,13,509,2.1666666666666665,84.83333333333333
#YUQ298QJG,JacksonFoxDog17,15,7,7,7,393,1.0,56.142857142857146
#QJPV0YP9U,gabe,25,7,7,7,408,1.0,58.285714285714285
#8LYCU8RJ,pedrinhoo,13,7,0,0,0,0,0
#JU9QRQLJ,Theron927,2,7,7,13,555,1.8571428571428572,79.28571428571429
#QYR0R8YVP,博马涅,22,7,6,10,429,1.6666666666666667,71.5
#P99PQRL22,chickenpotpie,30,7,7,12,486,1.7142857142857142,69.42857142857143
#YVVJ0R922,engeldy,18,7,4,10,359,2.5,89.75
#QLY9J22LP,Pestilence23,24,7,6,14,558,2.3333333333333335,93.0
#2UC20QVVP,=(EK/DUK)=,11,7,0,0,0,0,0
