Tag,Name,Role,Townhall Level,Trophy Count,Best Trophy Count,War Stars,Troops Donated,Troops Received,Clan Game Points
#80P8UPUG,thekojiman,leader,12,3477,3516,180,8012,1120,0
#8JVVLYQ2U,DawsoD,coLeader,12,3048,3236,808,2666,2814,0
#2982YPYV,~ iPlayLOL ~,coLeader,11,2720,2850,199,1103,870,0
#JU9QRQLJ,Theron927,admin,12,2676,3299,476,420,510,0
#LUCLGJ9L8,色拉油二,admin,11,2529,2889,419,276,1206,0
#8CYCYPGLG,ダスデ,coLeader,13,2197,2604,650,2889,2554,0
#Q8QUU888P,King Harlon,admin,10,2081,5019,366,177,595,0
#QYR0R8YVP,博马涅,admin,10,2005,2058,101,261,1110,0
#LCUQL8Q9C,mrcrysky 53,member,9,1954,1976,20,0,25,0
#QQ9QLPVCJ,deltzy,member,10,1934,1958,63,0,271,0
#QYGQ090PR,Murk Fest,member,12,1923,1928,30,255,569,0
#QLP0P9898,jostine,member,9,1929,1941,89,0,31,0
#98QCYG9G2,BLAZE AND ICE,member,10,1913,2084,245,0,65,0
#9JUJJ8GP8,ItachiUchiha,member,10,1906,2254,120,0,0,0
#GCPPUCGQ,YouWithTheFace,member,11,1879,2179,3,36,52,0
#8PRP9L28Q,Eknight_Br,admin,10,1873,1911,473,0,0,0
#QPJJ2YRRC,Pedro parca,member,10,1861,1947,81,1,102,0
#2QYGQ9CQL,Uncle Grandpa,admin,9,1813,1998,134,30,465,0
#L8GR8VUY,irina,admin,9,1766,1766,146,127,589,0
#9URGG2CY,Joe Kelly,admin,10,1753,2155,136,0,0,0
#QGLPVRGU2,StruggleHuggle,coLeader,9,1725,1763,131,272,618,0
#Q02CQ90CC,Emilio,member,8,1687,1717,0,0,140,0
#PQVPQCRU8,Clan Distroyer,admin,10,1666,1853,126,26,31,0
#QG2LL0GYJ,yLK,member,10,1594,1663,12,0,233,0
#P0LPJPR2,DawsoD’s Uncle,admin,9,1575,1778,142,40,431,0
#8222GPLR,habibie,member,9,1570,1853,198,0,62,0
#90CP09R0Y,coutinho,member,10,1563,1823,106,0,134,0
#YUQ298QJG,JacksonFoxDog17,admin,10,1554,1559,28,135,155,0
#2PRPCLLUY,bob the third,member,10,1526,1806,198,187,264,0
#Q0QJJCL0,strahovski,member,9,1513,2023,285,0,155,0
#V8G8P2PU,jolene wood,admin,11,1503,1558,375,92,62,0
#QYU2CJR80,MANZZ 2,member,9,1481,1555,29,0,25,0
#UCQV00GV,ser vinicius,member,9,1464,1688,166,0,0,0
#LYR9RG0J8,gae man,member,9,1432,1595,29,0,0,0
#QGGP2LLU0,Renanlandia,member,11,1421,1502,0,0,75,0
#28CPYJ902,AKgamer243,admin,9,1339,1483,74,123,494,0
#YVVJ0R922,engeldy,admin,9,1328,1653,185,0,0,0
#9GV9J9PRY,REI BÁRBARO,member,9,1327,2635,131,0,0,0
#QYP0Y909R,Denmark,admin,12,1318,1455,22,162,31,0
#9VLQC292,PrehistoricHero,member,9,1309,1740,95,0,0,0
#P99PQRL22,chickenpotpie,admin,8,1289,1312,24,30,175,0
#QJPV0YP9U,gabe,admin,9,1265,1444,20,55,78,0
#Q8RJV82YL,Whiskeywolf187,member,10,1099,1355,45,0,45,0
#QG82JUGJ0,FancyFrank$,admin,6,824,843,0,245,165,0
#LGCLRPC9U,GOD2207,member,7,809,929,0,0,0,0
#QJGQJPC88,Big T,member,5,678,678,0,72,271,0
