Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#80P8UPUG,thekojiman,1,1,69,3,100,4,169
#2PRPCLLUY,bob the third,8,3,100,0,0,3,100
#2982YPYV,~ iPlayLOL ~,6,1,67,2,75,3,142
#8CYCYPGLG,ダスデ,2,3,100,2,80,5,180
#8JVVLYQ2U,DawsoD,3,1,72,3,100,4,172
#QGLPVRGU2,StruggleHuggle,12,3,100,3,100,6,200
#L8GR8VUY,irina,9,3,100,3,100,6,200
#2QYGQ9CQL,Uncle Grandpa,11,1,79,3,100,4,179
#UQURYCLL,Kadafi,5,1,69,3,100,4,169
#P0LPJPR2,DawsoD’s Uncle,13,3,100,1,38,4,138
#2UYUCC9CV,VansnyaRafli,14,1,64,0,0,1,64
#P99PQRL22,chickenpotpie,15,0,22,0,0,0,22
#Q8RJV82YL,Whiskeywolf187,7,2,96,0,0,2,96
#LUCLGJ9L8,色拉油二,4,1,59,0,0,1,59
#YVVJ0R922,engeldy,10,0,0,0,0,0,0
