Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#80P8UPUG,thekojiman,1,3,100,3,100,6,200
#9URGG2CY,Joe Kelly,15,0,0,0,0,0,0
#2PRPCLLUY,bob the third,11,2,80,0,0,2,80
#V8G8P2PU,jolene wood,12,0,0,0,0,0,0
#QYGQ090PR,Murk Fest,4,2,95,0,0,2,95
#2982YPYV,~ iPlayLOL ~,8,3,100,2,91,5,191
#8CYCYPGLG,ダスデ,3,3,100,3,100,6,200
#28CPYJ902,AKgamer243,24,3,100,3,100,6,200
#8JVVLYQ2U,DawsoD,5,3,100,3,100,6,200
#QGG0JG0UG,aca,17,2,97,0,0,2,97
#QGLPVRGU2,StruggleHuggle,23,3,100,3,100,6,200
#Q8QUU888P,King Harlon,9,0,0,0,0,0,0
#L8GR8VUY,irina,19,3,100,3,100,6,200
#PQVPQCRU8,Clan Distroyer,10,0,0,0,0,0,0
#8PRP9L28Q,Eknight_Br,18,0,0,0,0,0,0
#QJGQJPC88,Big T,30,0,0,0,0,0,0
#QYP0Y909R,Denmark,6,0,0,0,0,0,0
#2QYGQ9CQL,Uncle Grandpa,22,3,100,1,57,4,157
#YUQ298QJG,JacksonFoxDog17,13,3,100,0,0,3,100
#9PG9VC8YV,႐ွိင္​းဝဏၰ,20,3,100,2,82,5,182
#QJPV0YP9U,gabe,26,0,37,0,44,0,81
#P0LPJPR2,DawsoD’s Uncle,25,1,74,3,100,4,174
#JU9QRQLJ,Theron927,2,3,100,3,100,6,200
#2UYUCC9CV,VansnyaRafli,27,3,100,0,0,3,100
#QG82JUGJ0,FancyFrank$,29,0,14,0,0,0,14
#QYR0R8YVP,博马涅,14,0,0,0,0,0,0
#P99PQRL22,chickenpotpie,28,2,66,0,0,2,66
#Q8RJV82YL,Whiskeywolf187,16,3,100,2,99,5,199
#LUCLGJ9L8,色拉油二,7,3,100,3,100,6,200
#YVVJ0R922,engeldy,21,0,0,0,0,0,0
