Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#80P8UPUG,thekojiman,1,2,95,2,93,4,188
#V8G8P2PU,jolene wood,8,0,0,0,0,0,0
#QYGQ090PR,Murk Fest,5,3,100,1,69,4,169
#2982YPYV,~ iPlayLOL ~,6,1,66,3,100,4,166
#8CYCYPGLG,ダスデ,4,3,100,3,100,6,200
#28CPYJ902,AKgamer243,14,1,70,3,100,4,170
#8JVVLYQ2U,DawsoD,2,3,100,1,95,4,195
#QGLPVRGU2,StruggleHuggle,13,3,100,3,100,6,200
#Q8QUU888P,King Harlon,7,3,100,0,0,3,100
#L8GR8VUY,irina,10,3,100,2,92,5,192
#2QYGQ9CQL,Uncle Grandpa,12,3,100,1,70,4,170
#Q0QJJCL0,strahovski,11,2,57,1,37,3,94
#P0LPJPR2,DawsoD’s Uncle,15,2,80,0,31,2,111
#JU9QRQLJ,Theron927,3,3,100,3,100,6,200
#QYR0R8YVP,博马涅,9,1,54,2,83,3,137
