Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#80P8UPUG,thekojiman,1,3,100,1,69,4,169
#GCPPUCGQ,YouWithTheFace,6,1,51,0,44,1,95
#2PRPCLLUY,bob the third,8,0,31,0,0,0,31
#2982YPYV,~ iPlayLOL ~,5,2,63,3,100,5,163
#8CYCYPGLG,ダスデ,4,3,100,0,42,3,142
#28CPYJ902,AKgamer243,13,2,90,3,100,5,190
#8JVVLYQ2U,DawsoD,2,3,100,2,66,5,166
#QGLPVRGU2,StruggleHuggle,12,3,100,0,36,3,136
#Q8QUU888P,King Harlon,7,0,0,0,0,0,0
#L8GR8VUY,irina,9,3,100,2,94,5,194
#2QYGQ9CQL,Uncle Grandpa,11,2,90,1,69,3,159
#Q0QJJCL0,strahovski,10,3,100,1,68,4,168
#P0LPJPR2,DawsoD’s Uncle,14,3,100,3,100,6,200
#JU9QRQLJ,Theron927,3,3,100,3,100,6,200
#P99PQRL22,chickenpotpie,15,2,84,3,100,5,184
