Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#LCUQL8Q9C,mrcrysky 53,28,2,63,2,66,4,129
#9URGG2CY,Joe Kelly,14,2,68,0,0,2,68
#V8G8P2PU,jolene wood,11,0,0,0,0,0,0
#2982YPYV,~ iPlayLOL ~,5,3,100,3,100,6,200
#8CYCYPGLG,ダスデ,2,3,100,3,100,6,200
#28CPYJ902,AKgamer243,24,3,100,3,100,6,200
#8JVVLYQ2U,DawsoD,1,2,72,1,64,3,136
#QLVGU2U8V,elle juliet,7,3,100,2,96,5,196
#QGLPVRGU2,StruggleHuggle,21,3,100,1,74,4,174
#8CUQYJLLG,kevin11,4,0,0,0,0,0,0
#QYGQJLPGL,OP BLAKE,22,0,0,0,0,0,0
#Q8QUU888P,King Harlon,6,3,100,3,100,6,200
#QGGP2LLU0,Renanlandia,16,0,0,0,0,0,0
#L8GR8VUY,irina,18,1,90,3,100,4,190
#PQVPQCRU8,Clan Distroyer,10,0,0,0,0,0,0
#2QYGQ9CQL,Uncle Grandpa,20,3,100,0,49,3,149
#Q0QJJCL0,strahovski,19,2,73,3,100,5,173
#QQ9QLPVCJ,deltzy,8,0,0,0,0,0,0
#9GV9J9PRY,REI BÁRBARO,29,0,0,0,0,0,0
#LYR9RG0J8,gae man,26,1,55,2,88,3,143
#QJPV0YP9U,gabe,27,0,0,0,0,0,0
#P0LPJPR2,DawsoD’s Uncle,23,2,70,2,88,4,158
#QYU2CJR80,MANZZ 2,25,0,0,0,0,0,0
#QYR0R8YVP,博马涅,13,1,56,3,100,4,156
#P99PQRL22,chickenpotpie,30,3,100,1,66,4,166
#Q8RJV82YL,Whiskeywolf187,15,3,100,0,0,3,100
#QG2LL0GYJ,yLK,17,0,0,0,0,0,0
#LLQ00GLP8,rayray,12,1,57,1,54,2,111
#LUCLGJ9L8,色拉油二,3,0,0,0,0,0,0
#QPJJ2YRRC,Pedro parca,9,1,32,1,56,2,88
