Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#LY89CVUYL,abibliophobix,9,1,63,0,36,1,99
#P29LJ8L,amanda,6,3,100,0,0,3,100
#QJGQJPC88,Big T,8,2,81,2,56,4,137
#QJJCQ9RJ9,Chickenpotpie14,10,3,100,0,49,3,149
#YUQ298QJG,JacksonFoxDog17,1,1,38,3,100,4,138
#LYR9RG0J8,dampmcmuffin,3,0,0,0,48,0,48
#QJPV0YP9U,gabe,4,1,53,3,100,4,153
#QG82JUGJ0,FancyFrank$,7,1,39,3,100,4,139
#P99PQRL22,chickenpotpie,5,3,100,2,97,5,197
#Q8RJV82YL,Whiskeywolf187,2,2,91,0,38,2,129
