Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#LCUQL8Q9C,FancySky,16,2,82,1,87,3,169
#9URGG2CY,Joe Kelly,11,1,85,2,60,3,145
#GCPPUCGQ,YouWithTheFace,1,0,35,0,49,0,84
#2982YPYV,~ iPlayLOL ~,3,2,88,3,100,5,188
#8CUQYJLLG,kevin11,2,0,0,0,0,0,0
#Q8QUU888P,King Harlon,4,2,89,0,0,2,89
#Q02CQ90CC,Emilio,15,0,0,0,0,0,0
#L8GR8VUY,irina,7,3,100,3,100,6,200
#LY89CVUYL,abibliophobix,25,3,100,0,32,3,132
#P29LJ8L,amanda,19,0,0,0,0,0,0
#QJGQJPC88,Big T,22,3,100,3,100,6,200
#QJJCQ9RJ9,Chickenpotpie14,24,0,38,0,0,0,38
#98QCYG9G2,BLAZE AND ICE,5,1,80,3,100,4,180
#YUQ298QJG,JacksonFoxDog17,10,2,83,0,0,2,83
#LYR9RG0J8,dampmcmuffin,13,1,38,0,41,1,79
#QJPV0YP9U,gabe,14,1,51,0,0,1,51
#P0LPJPR2,DawsoD’s Uncle,8,3,100,3,100,6,200
#9UPVVQR92,$laapy*,18,3,100,3,100,6,200
#QG82JUGJ0,FancyFrank$,21,0,0,0,0,0,0
#QYR0R8YVP,博马涅,9,3,100,3,100,6,200
#P99PQRL22,chickenpotpie,17,2,84,2,99,4,183
#PJQ0PQ8VR,joao,20,0,0,0,0,0,0
#Q8RJV82YL,Whiskeywolf187,12,2,98,3,100,5,198
#QPJJ2YRRC,Pedro parca,6,1,62,0,0,1,62
#QR8C0ULGV,先輩 senpai d,23,3,100,3,100,6,200
