Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#9URGG2CY,Joe Kelly,15,1,61,0,0,1,61
#GCPPUCGQ,YouWithTheFace,2,2,98,3,100,5,198
#QYGQ090PR,Murk Fest,1,0,0,0,0,0,0
#28CPYJ902,AKgamer243,14,3,100,2,82,5,182
#QGLPVRGU2,StruggleHuggle,8,3,100,3,100,6,200
#2PL09JP8R,bmbbeats,7,1,95,0,0,1,95
#Q8QUU888P,King Harlon,3,3,100,0,0,3,100
#L8GR8VUY,irina,6,3,100,3,100,6,200
#9V0V98VUG,Luís,13,3,100,3,100,6,200
#LY89CVUYL,abibliophobix,25,2,80,0,32,2,112
#QJGQJPC88,Big T,23,2,99,0,0,2,99
#2QYGQ9CQL,Uncle Grandpa,11,2,89,0,0,2,89
#98QCYG9G2,BLAZE AND ICE,4,3,100,2,75,5,175
#YUQ298QJG,JacksonFoxDog17,16,0,44,0,0,0,44
#LYR9RG0J8,dampmcmuffin,19,2,69,1,58,3,127
#P0LPJPR2,DawsoD’s Uncle,10,3,100,3,100,6,200
#9UPVVQR92,$laapy*,18,3,100,3,100,6,200
#QG82JUGJ0,FancyFrank$,22,0,0,0,0,0,0
#QYR0R8YVP,博马涅,9,3,100,3,100,6,200
#P99PQRL22,chickenpotpie,21,3,100,1,55,4,155
#Q8RJV82YL,Whiskeywolf187,17,1,57,0,0,1,57
#QPJJ2YRRC,Pedro parca,5,0,37,0,0,0,37
#QR8C0ULGV,先輩 senpai d,24,3,100,0,40,3,140
#LUCUVV9CC,7AFEZ,20,3,100,1,52,4,152
#LGVLRGGQJ,Hokage,12,0,0,0,0,0,0
