Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#2CCQGCRL,jj,5,0,0,0,0,0,0
#9URGG2CY,Joe Kelly,14,2,77,3,100,5,177
#GCPPUCGQ,YouWithTheFace,3,1,64,1,49,2,113
#QYGQ090PR,Murk Fest,2,0,0,0,0,0,0
#8CYCYPGLG,ダスデ,1,3,100,3,100,6,200
#28CPYJ902,AKgamer243,12,3,100,0,0,3,100
#QGLPVRGU2,StruggleHuggle,8,2,87,3,100,5,187
#QGC2YRPC2,PUNISHER,21,3,100,1,78,4,178
#2PL09JP8R,bmbbeats,7,0,0,0,0,0,0
#Q8QUU888P,King Harlon,4,2,73,3,100,5,173
#L8GR8VUY,irina,6,3,100,3,100,6,200
#9V0V98VUG,Luís,13,2,76,2,99,4,175
#LY89CVUYL,abibliophobix,24,0,43,0,0,0,43
#QJJCQ9RJ9,Chickenpotpie14,25,3,100,0,46,3,146
#2QYGQ9CQL,Uncle Grandpa,11,1,55,1,53,2,108
#YUQ298QJG,JacksonFoxDog17,15,1,54,0,0,1,54
#LYR9RG0J8,dampmcmuffin,18,2,69,3,100,5,169
#QJPV0YP9U,gabe,19,0,0,0,44,0,44
#P0LPJPR2,DawsoD’s Uncle,10,3,100,0,0,3,100
#9UPVVQR92,$laapy*,17,0,0,0,0,0,0
#QYR0R8YVP,博马涅,9,2,80,3,100,5,180
#P99PQRL22,chickenpotpie,22,3,100,2,63,5,163
#Q8RJV82YL,Whiskeywolf187,16,1,53,0,0,1,53
#QR8C0ULGV,先輩 senpai d,23,1,58,3,100,4,158
#LUCUVV9CC,7AFEZ,20,2,81,3,100,5,181
