Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#2CCQGCRL,jj,4,0,0,0,0,0,0
#80P8UPUG,thekojiman,1,2,71,3,100,5,171
#9URGG2CY,Joe Kelly,14,1,47,0,0,1,47
#GCPPUCGQ,YouWithTheFace,2,0,45,1,64,1,109
#QYGQ090PR,Murk Fest,3,0,0,0,0,0,0
#2PL09JP8R,bmbbeats,8,3,100,2,77,5,177
#Y8YRR8LLC,VOC•DRAXEN17,23,3,100,3,100,6,200
#Q02CQ90CC,Emilio,20,0,0,0,0,0,0
#L8GR8VUY,irina,9,3,100,3,100,6,200
#GQ2GU92J,BeastDirtBag,18,0,0,0,0,0,0
#9V0V98VUG,Luís,12,0,0,0,0,0,0
#LY89CVUYL,abibliophobix,28,1,90,3,100,4,190
#P29LJ8L,amanda,25,0,0,0,0,0,0
#QJGQJPC88,Big T,27,3,100,1,61,4,161
#QJJCQ9RJ9,Chickenpotpie14,30,2,70,0,0,2,70
#2QYGQ9CQL,Uncle Grandpa,13,1,73,2,93,3,166
#98QCYG9G2,BLAZE AND ICE,6,0,0,0,0,0,0
#YUQ298QJG,JacksonFoxDog17,15,0,0,0,0,0,0
#PV0UPP080,aditcag,5,0,0,0,0,0,0
#LYR9RG0J8,dampmcmuffin,19,1,69,1,52,2,121
#QJPV0YP9U,gabe,21,0,0,0,0,0,0
#P0LPJPR2,DawsoD’s Uncle,10,1,88,1,80,2,168
#228C8CP0,vionadebbs,7,2,56,2,88,4,144
#9UPVVQR92,$laapy*,17,2,84,0,0,2,84
#QYR0R8YVP,博马涅,11,3,100,2,76,5,176
#P99PQRL22,chickenpotpie,24,1,65,1,64,2,129
#PJQ0PQ8VR,joao,29,0,0,0,0,0,0
#Q8RJV82YL,Whiskeywolf187,16,1,58,0,0,1,58
#QR8C0ULGV,先輩 senpai d,26,3,100,2,97,5,197
#LUCUVV9CC,7AFEZ,22,3,100,3,100,6,200
