Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#9URGG2CY,Joe Kelly,12,0,0,0,0,0,0
#GCPPUCGQ,YouWithTheFace,2,1,77,0,0,1,77
#2982YPYV,~ iPlayLOL ~,3,2,94,1,66,3,160
#8CYCYPGLG,ダスデ,1,2,64,2,85,4,149
#QGLPVRGU2,StruggleHuggle,7,3,100,3,100,6,200
#2PL09JP8R,bmbbeats,5,2,89,1,61,3,150
#Y8YRR8LLC,VOC•DRAXEN17,17,0,0,0,0,0,0
#L8GR8VUY,irina,6,3,100,3,100,6,200
#QJGQJPC88,Big T,20,0,0,0,0,0,0
#2QYGQ9CQL,Uncle Grandpa,10,0,0,0,0,0,0
#LYR9RG0J8,dampmcmuffin,15,1,70,3,100,4,170
#P0LPJPR2,DawsoD’s Uncle,8,3,100,0,0,3,100
#228C8CP0,vionadebbs,4,2,93,3,100,5,193
#9UPVVQR92,$laapy*,14,3,100,3,100,6,200
#YJPQQJ80L,reachel___,11,1,75,0,0,1,75
#QYR0R8YVP,博马涅,9,2,89,3,100,5,189
#P99PQRL22,chickenpotpie,18,0,0,0,0,0,0
#Q8RJV82YL,Whiskeywolf187,13,0,0,0,0,0,0
#QR8C0ULGV,先輩 senpai d,19,3,100,3,100,6,200
#LUCUVV9CC,7AFEZ,16,3,100,1,66,4,166
