Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#8CYCYPGLG,ダスデ,2,3,100,3,100,6,200
#8JVVLYQ2U,DawsoD,1,2,60,2,92,4,152
#QJGQJPC88,Big T,9,0,0,0,0,0,0
#YUQ298QJG,JacksonFoxDog17,7,1,50,1,49,2,99
#LYR9RG0J8,dampmcmuffin,6,0,0,0,0,0,0
#P0LPJPR2,DawsoD’s Uncle,4,1,83,3,100,4,183
#YJPQQJ80L,reachel___,3,2,81,3,100,5,181
#QYR0R8YVP,博马涅,5,3,100,3,100,6,200
#P99PQRL22,chickenpotpie,8,2,89,1,72,3,161
#QR8C0ULGV,先輩 senpai d,10,3,100,3,100,6,200
