Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#9URGG2CY,Joe Kelly,18,0,0,0,0,0,0
#GCPPUCGQ,YouWithTheFace,2,2,93,3,100,5,193
#G08JGJPL,Jimbob,6,3,100,1,82,4,182
#QYGQ090PR,Murk Fest,4,1,53,2,99,3,152
#2982YPYV,~ iPlayLOL ~,1,2,97,3,100,5,197
#82YC2CJ0U,Hikaru,5,1,77,0,0,1,77
#8CYCYPGLG,ダスデ,3,0,0,0,0,0,0
#L0LJCYUL9,camobamo,28,3,100,1,65,4,165
#QGLPVRGU2,StruggleHuggle,12,3,100,3,100,6,200
#Q02CQ90CC,Emilio,22,0,0,0,0,0,0
#L8GR8VUY,irina,9,3,100,3,100,6,200
#GQ2GU92J,BeastDirtBag,20,0,0,0,0,0,0
#8PRP9L28Q,Eknight_Br,10,1,43,2,61,3,104
#QJGQJPC88,Big T,25,0,0,0,0,0,0
#PGPC99JRV,og.sethh,24,0,0,0,0,0,0
#QJJCQ9RJ9,Chickenpotpie14,27,2,80,0,0,2,80
#YUQ298QJG,JacksonFoxDog17,16,0,0,0,0,0,0
#PV0UPP080,aditcag,8,0,0,0,0,0,0
#22RC8RJV,PhoKing,23,0,44,0,0,0,44
#QJPV0YP9U,gabe,17,3,100,1,53,4,153
#P0LPJPR2,DawsoD’s Uncle,13,0,0,0,0,0,0
#YVGR8RVLL,( ͡° ͜ʖ ͡°),30,2,54,1,51,3,105
#9UPVVQR92,$laapy*,19,0,0,0,0,0,0
#YJPQQJ80L,reachel___,11,2,83,3,100,5,183
#QYR0R8YVP,博马涅,14,0,0,0,0,0,0
#Q8RJV82YL,Whiskeywolf187,21,0,0,0,0,0,0
#QR8C0ULGV,先輩 senpai d,26,0,0,0,0,0,0
#LUCUVV9CC,7AFEZ,15,2,89,0,0,2,89
#LJ82GPRV8,mdj0131,7,0,0,0,0,0,0
#QP0GV992J,Hideki,29,0,0,0,0,0,0
