Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,1,3,100,True
#9URGG2CY,Joe Kelly,20,1,59,True
#V8G8P2PU,jolene wood,14,0,16,True
#URUYJ9GV,andrei,10,0,0,False
#QYP9R9G29,CãTë,28,0,0,False
#2982YPYV,~ iPlayLOL ~,7,3,100,True
#8CYCYPGLG,ダスデ,3,3,100,True
#28CPYJ902,AKgamer243,24,3,100,True
#8JVVLYQ2U,DawsoD,4,3,100,True
#QGG0JG0UG,aca,16,0,38,True
#QGLPVRGU2,StruggleHuggle,23,3,100,True
#Q8QUU888P,King Harlon,9,2,99,True
#QGPPRYVRY,zekinha,27,0,0,False
#L8GR8VUY,irina,19,3,100,True
#990CCQVLP,Thompson,29,0,0,False
#PQVPQCRU8,Clan Distroyer,12,2,84,True
#8PRP9L28Q,Eknight_Br,17,2,50,True
#QYP0Y909R,Denmark,5,0,0,False
#2QYGQ9CQL,Uncle Grandpa,21,2,55,True
#LCYJUC00Y,poes,8,0,0,False
#UQURYCLL,Kadafi,6,0,0,False
#YUQ298QJG,JacksonFoxDog17,15,0,39,True
#QJPV0YP9U,gabe,25,0,27,True
#8LYCU8RJ,pedrinhoo,13,0,0,False
#JU9QRQLJ,Theron927,2,1,60,True
#QYR0R8YVP,博马涅,22,0,0,False
#P99PQRL22,chickenpotpie,30,0,26,True
#YVVJ0R922,engeldy,18,0,0,False
#QLY9J22LP,Pestilence23,26,0,0,False
#2UC20QVVP,=(EK/DUK)=,11,0,0,False
