Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,1,3,100,True
#9URGG2CY,Joe Kelly,17,2,76,True
#V8G8P2PU,jolene wood,14,3,100,True
#URUYJ9GV,andrei,10,0,0,False
#QYP9R9G29,CãTë,28,0,0,False
#2982YPYV,~ iPlayLOL ~,7,3,100,True
#8CYCYPGLG,ダスデ,3,3,100,True
#28CPYJ902,AKgamer243,24,1,64,True
#8JVVLYQ2U,DawsoD,4,3,100,True
#QGG0JG0UG,aca,16,0,0,False
#QGLPVRGU2,StruggleHuggle,23,3,100,True
#Q8QUU888P,King Harlon,9,0,0,False
#QGPPRYVRY,zekinha,27,0,0,False
#L8GR8VUY,irina,20,3,100,True
#990CCQVLP,Thompson,29,0,0,False
#PQVPQCRU8,Clan Distroyer,12,0,0,False
#8PRP9L28Q,Eknight_Br,18,0,0,False
#QYP0Y909R,Denmark,5,1,74,True
#2QYGQ9CQL,Uncle Grandpa,21,0,0,False
#LCYJUC00Y,poes,8,0,0,False
#UQURYCLL,Kadafi,6,3,100,True
#YUQ298QJG,JacksonFoxDog17,15,0,34,True
#QJPV0YP9U,gabe,25,1,53,True
#8LYCU8RJ,pedrinhoo,13,0,0,False
#JU9QRQLJ,Theron927,2,3,100,True
#QYR0R8YVP,博马涅,22,1,57,True
#P99PQRL22,chickenpotpie,30,3,100,True
#YVVJ0R922,engeldy,19,0,0,False
#QLY9J22LP,Pestilence23,26,3,100,True
#2UC20QVVP,=(EK/DUK)=,11,0,0,False
