Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,2,3,100,True
#LCUQL8Q9C,FancySky,37,3,100,True
#2PRPCLLUY,bob the third,18,3,100,True
#2982YPYV,~ iPlayLOL ~,11,0,47,True
#8CYCYPGLG,ダスデ,6,2,56,True
#28CPYJ902,AKgamer243,28,3,100,True
#8JVVLYQ2U,DawsoD,3,2,55,True
#QLVGU2U8V,elle juliet,13,3,100,True
#QGLPVRGU2,StruggleHuggle,24,3,100,True
#Q8QUU888P,King Harlon,12,3,100,True
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,21,3,100,True
#2QYGQ9CQL,Uncle Grandpa,32,3,100,True
#P0LPJPR2,DawsoD’s Uncle,25,3,100,True
#JU9QRQLJ,Theron927,4,1,59,True
