Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,2,2,75,True
#LCUQL8Q9C,FancySky,37,2,99,True
#2PRPCLLUY,bob the third,20,2,52,True
#2982YPYV,~ iPlayLOL ~,11,0,44,True
#8CYCYPGLG,ダスデ,6,2,74,True
#28CPYJ902,AKgamer243,28,2,80,True
#8JVVLYQ2U,DawsoD,3,2,97,True
#QLVGU2U8V,elle juliet,13,0,0,False
#QGLPVRGU2,StruggleHuggle,24,2,66,True
#Q8QUU888P,King Harlon,12,2,83,True
#PQ8GV8U,super d,1,2,98,True
#L8GR8VUY,irina,21,2,69,True
#2QYGQ9CQL,Uncle Grandpa,32,2,81,True
#P0LPJPR2,DawsoD’s Uncle,25,3,100,True
#JU9QRQLJ,Theron927,4,2,65,True
