Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,2,2,71,True
#LCUQL8Q9C,FancySky,37,3,100,True
#2PRPCLLUY,bob the third,19,2,99,True
#2982YPYV,~ iPlayLOL ~,11,3,100,True
#8CYCYPGLG,ダスデ,6,3,100,True
#28CPYJ902,AKgamer243,28,3,100,True
#8JVVLYQ2U,DawsoD,3,2,86,True
#QGLPVRGU2,StruggleHuggle,24,3,100,True
#Q8QUU888P,King Harlon,12,3,100,True
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,20,3,100,True
#2QYGQ9CQL,Uncle Grandpa,32,3,100,True
#Q0QJJCL0,strahovski,21,3,100,True
#P0LPJPR2,DawsoD’s Uncle,25,3,100,True
#JU9QRQLJ,Theron927,4,1,68,True
