Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,2,2,89,True
#LCUQL8Q9C,FancySky,38,2,65,True
#2PRPCLLUY,bob the third,21,1,48,True
#2982YPYV,~ iPlayLOL ~,11,1,83,True
#8CYCYPGLG,ダスデ,6,3,100,True
#28CPYJ902,AKgamer243,28,3,100,True
#8JVVLYQ2U,DawsoD,3,2,85,True
#QGLPVRGU2,StruggleHuggle,22,3,100,True
#Q8QUU888P,King Harlon,12,3,100,True
#PQ8GV8U,super d,1,2,95,True
#L8GR8VUY,irina,19,2,94,True
#2QYGQ9CQL,Uncle Grandpa,32,1,69,True
#Q0QJJCL0,strahovski,20,3,100,True
#P0LPJPR2,DawsoD’s Uncle,25,3,100,True
#JU9QRQLJ,Theron927,4,1,77,True
