Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,2,94,True
#2PRPCLLUY,bob the third,16,0,0,False
#2982YPYV,~ iPlayLOL ~,10,2,81,True
#8CYCYPGLG,ダスデ,7,3,100,True
#28CPYJ902,Akita,25,3,100,True
#8JVVLYQ2U,DawsoD,4,2,92,True
#QGLPVRGU2,StruggleHuggle,18,1,66,True
#2PL09JP8R,bmbbeats,15,3,100,True
#PQ8GV8U,super d,1,2,95,True
#L8GR8VUY,irina,13,1,58,True
#2QYGQ9CQL,Uncle Grandpa,22,2,70,True
#98QCYG9G2,BLAZE AND ICE,12,2,53,True
#P0LPJPR2,DawsoD’s Uncle,19,2,96,True
#JU9QRQLJ,Theron927,5,1,72,True
#QYR0R8YVP,博马涅,21,2,92,True
