Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,3,100,True
#2PRPCLLUY,bob the third,17,0,0,False
#2982YPYV,~ iPlayLOL ~,10,2,98,True
#8CYCYPGLG,ダスデ,7,3,100,True
#28CPYJ902,Akita,24,1,76,True
#8JVVLYQ2U,DawsoD,4,3,100,True
#QGLPVRGU2,StruggleHuggle,18,1,43,True
#2PL09JP8R,bmbbeats,15,2,50,True
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,13,3,100,True
#2QYGQ9CQL,Uncle Grandpa,22,1,64,True
#98QCYG9G2,BLAZE AND ICE,12,0,41,True
#P0LPJPR2,DawsoD’s Uncle,19,2,85,True
#JU9QRQLJ,Theron927,5,0,0,False
#QYR0R8YVP,博马涅,21,2,77,True
