Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,0,45,True
#9URGG2CY,Joe Kelly,26,2,95,True
#GCPPUCGQ,YouWithTheFace,8,0,0,False
#2982YPYV,~ iPlayLOL ~,10,1,68,True
#8CYCYPGLG,ダスデ,7,3,100,True
#28CPYJ902,Akita,24,3,100,True
#8JVVLYQ2U,DawsoD,4,2,77,True
#QGLPVRGU2,StruggleHuggle,17,2,68,True
#2PL09JP8R,bmbbeats,15,1,44,True
#PQ8GV8U,super d,1,2,84,True
#L8GR8VUY,irina,13,0,43,True
#2QYGQ9CQL,Uncle Grandpa,22,3,100,True
#98QCYG9G2,BLAZE AND ICE,12,2,77,True
#P0LPJPR2,DawsoD’s Uncle,19,3,100,True
#QYR0R8YVP,博马涅,20,0,0,False
