Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,1,96,True
#9URGG2CY,Joe Kelly,26,0,0,False
#2982YPYV,~ iPlayLOL ~,10,3,100,True
#8CYCYPGLG,ダスデ,7,3,100,True
#28CPYJ902,Akita,25,3,100,True
#8JVVLYQ2U,DawsoD,4,3,100,True
#QGLPVRGU2,StruggleHuggle,16,2,77,True
#2PL09JP8R,bmbbeats,15,2,72,True
#PQ8GV8U,super d,1,1,93,True
#L8GR8VUY,irina,13,0,0,False
#2QYGQ9CQL,Uncle Grandpa,22,1,52,True
#98QCYG9G2,BLAZE AND ICE,12,1,64,True
#P0LPJPR2,DawsoD’s Uncle,19,3,100,True
#JU9QRQLJ,Theron927,5,1,71,True
#QYR0R8YVP,博马涅,20,3,100,True
