Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,3,100,True
#2982YPYV,~ iPlayLOL ~,10,3,100,True
#8CYCYPGLG,ダスデ,7,3,100,True
#28CPYJ902,Akita,25,3,100,True
#8JVVLYQ2U,DawsoD,4,2,71,True
#QGLPVRGU2,StruggleHuggle,16,2,58,True
#2PL09JP8R,bmbbeats,13,2,57,True
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,15,2,52,True
#2QYGQ9CQL,Uncle Grandpa,22,3,100,True
#98QCYG9G2,BLAZE AND ICE,12,1,67,True
#P0LPJPR2,DawsoD’s Uncle,19,3,100,True
#JU9QRQLJ,Theron927,5,2,92,True
#QYR0R8YVP,博马涅,20,2,72,True
#Q8RJV82YL,Whiskeywolf187,29,0,31,True
