Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,3,100,True
#2982YPYV,~ iPlayLOL ~,10,1,64,True
#8CYCYPGLG,ダスデ,7,2,84,True
#28CPYJ902,Akita,25,2,82,True
#8JVVLYQ2U,DawsoD,4,1,97,True
#QGLPVRGU2,StruggleHuggle,19,0,40,True
#2PL09JP8R,bmbbeats,16,0,0,False
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,17,1,40,True
#2QYGQ9CQL,Uncle Grandpa,22,1,50,True
#98QCYG9G2,BLAZE AND ICE,18,0,0,False
#P0LPJPR2,DawsoD’s Uncle,23,3,100,True
#JU9QRQLJ,Theron927,5,0,47,True
#228C8CP0,vionadebbs,11,2,67,True
#QYR0R8YVP,博马涅,21,1,62,True
