Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,3,100,True
#2982YPYV,~ iPlayLOL ~,10,2,99,True
#8CYCYPGLG,ダスデ,7,3,100,True
#28CPYJ902,Akita,24,3,100,True
#8JVVLYQ2U,DawsoD,4,3,100,True
#QGLPVRGU2,StruggleHuggle,20,3,100,True
#2PL09JP8R,bmbbeats,16,2,62,True
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,17,3,100,True
#2QYGQ9CQL,Uncle Grandpa,21,2,81,True
#98QCYG9G2,BLAZE AND ICE,18,3,100,True
#P0LPJPR2,DawsoD’s Uncle,23,3,100,True
#JU9QRQLJ,Theron927,5,3,100,True
#228C8CP0,vionadebbs,11,3,100,True
#QYR0R8YVP,博马涅,22,3,100,True
