Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,2,99,True
#QYGQ090PR,Murk Fest,9,1,75,True
#2982YPYV,~ iPlayLOL ~,10,3,100,True
#8CYCYPGLG,ダスデ,7,2,78,True
#8JVVLYQ2U,DawsoD,4,3,100,True
#QGLPVRGU2,StruggleHuggle,20,2,97,True
#2PL09JP8R,bmbbeats,16,2,63,True
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,17,2,73,True
#2QYGQ9CQL,Uncle Grandpa,23,0,0,False
#98QCYG9G2,BLAZE AND ICE,18,2,90,True
#P0LPJPR2,DawsoD’s Uncle,21,2,85,True
#JU9QRQLJ,Theron927,5,2,80,True
#228C8CP0,vionadebbs,11,1,73,True
#QYR0R8YVP,博马涅,22,3,100,True
