Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,3,100,True
#QYGQ090PR,Murk Fest,9,1,33,True
#2982YPYV,~ iPlayLOL ~,10,2,86,True
#8CYCYPGLG,ダスデ,7,3,100,True
#8JVVLYQ2U,DawsoD,4,2,93,True
#QGLPVRGU2,StruggleHuggle,20,2,53,True
#2PL09JP8R,bmbbeats,16,0,0,False
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,17,3,100,True
#2QYGQ9CQL,Uncle Grandpa,21,0,0,False
#98QCYG9G2,BLAZE AND ICE,18,3,100,True
#P0LPJPR2,DawsoD’s Uncle,22,0,0,False
#JU9QRQLJ,Theron927,5,0,0,False
#228C8CP0,vionadebbs,11,2,65,True
#QYR0R8YVP,博马涅,23,3,100,True
